epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,301.734,1.03105,2.84381,1.49519,0.24899,0.60641,0.32136,0.23415,0.97969,1.73693,1.68594,0.00333018,0.00333018,0.00333018
2,560.993,0.93381,2.02558,1.3551,0.36962,0.65563,0.4547,0.35655,0.84432,1.40735,1.54575,0.00659755,0.00659755,0.00659755
3,818.896,0.96019,1.76658,1.35784,0.3759,0.6565,0.46705,0.36914,0.82338,1.39057,1.50625,0.00979891,0.00979891,0.00979891
4,1077.1,0.95319,1.61078,1.35112,0.38281,0.70936,0.50891,0.40888,0.78135,1.29937,1.44425,0.009703,0.009703,0.009703
5,1335.4,0.90329,1.50806,1.30875,0.44082,0.65992,0.55811,0.46497,0.69159,1.16173,1.34411,0.009604,0.009604,0.009604
6,1592,0.86504,1.45261,1.28322,0.43719,0.67359,0.54863,0.45702,0.68799,1.18129,1.33484,0.009505,0.009505,0.009505
7,1853.5,0.84424,1.40814,1.26924,0.55951,0.64201,0.62645,0.53024,0.65336,1.0489,1.29593,0.009406,0.009406,0.009406
8,2127.4,0.82647,1.37965,1.25854,0.56173,0.6695,0.63267,0.53435,0.64742,1.04083,1.28726,0.009307,0.009307,0.009307
9,2397.67,0.81557,1.3457,1.25172,0.54918,0.69446,0.66044,0.55996,0.64085,1.00837,1.28405,0.009208,0.009208,0.009208
10,2668.74,0.804,1.33116,1.24069,0.56776,0.69537,0.67162,0.57407,0.61802,0.97028,1.24896,0.009109,0.009109,0.009109
11,2948.78,0.79332,1.30541,1.23444,0.59306,0.68529,0.66903,0.56587,0.65562,0.96413,1.29134,0.00901,0.00901,0.00901
12,3216.77,0.78192,1.28692,1.22793,0.59679,0.70241,0.69739,0.59736,0.62247,0.93494,1.24857,0.008911,0.008911,0.008911
13,3487.5,0.77666,1.26884,1.22295,0.61783,0.69749,0.70878,0.60877,0.60991,0.91018,1.23886,0.008812,0.008812,0.008812
14,3756.56,0.77466,1.26463,1.21974,0.61973,0.70332,0.71654,0.6144,0.61686,0.90937,1.24015,0.008713,0.008713,0.008713
15,4030.06,0.76557,1.23999,1.21571,0.63842,0.69561,0.71841,0.62134,0.58762,0.88795,1.21456,0.008614,0.008614,0.008614
16,4305.4,0.75481,1.23093,1.20709,0.63643,0.7206,0.74151,0.6395,0.59268,0.86111,1.2178,0.008515,0.008515,0.008515
17,4580.16,0.75786,1.22433,1.20761,0.63219,0.72449,0.73618,0.63895,0.58301,0.85529,1.21016,0.008416,0.008416,0.008416
18,4860.08,0.74667,1.21267,1.19929,0.6418,0.72174,0.7481,0.64448,0.59656,0.84485,1.22159,0.008317,0.008317,0.008317
19,5147.05,0.74665,1.20447,1.19952,0.64376,0.74014,0.75561,0.65859,0.56369,0.8135,1.1866,0.008218,0.008218,0.008218
20,5438.72,0.74548,1.19779,1.19934,0.65037,0.72956,0.75297,0.64987,0.59147,0.82341,1.21345,0.008119,0.008119,0.008119
21,5719.57,0.74192,1.18636,1.19721,0.66782,0.73775,0.77205,0.67494,0.56433,0.79068,1.18689,0.00802,0.00802,0.00802
22,5990.5,0.73698,1.17857,1.19616,0.6642,0.75155,0.77067,0.67141,0.57491,0.7944,1.19257,0.007921,0.007921,0.007921
23,6263.52,0.73593,1.16885,1.19364,0.67692,0.73707,0.77534,0.67723,0.55444,0.77357,1.1739,0.007822,0.007822,0.007822
24,6536.87,0.7297,1.1675,1.18712,0.67373,0.74488,0.78387,0.68236,0.57076,0.77394,1.19115,0.007723,0.007723,0.007723
25,6807.24,0.72838,1.1546,1.18489,0.69573,0.73449,0.78652,0.68445,0.57272,0.76134,1.18743,0.007624,0.007624,0.007624
26,7077.81,0.72736,1.15251,1.18626,0.69651,0.73801,0.78737,0.68768,0.56152,0.75661,1.17828,0.007525,0.007525,0.007525
