epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.628,1.63219,4.5644,1.7774,0.01554,0.79335,0.09347,0.05676,1.07687,3.39338,1.18661,0.00017271,0.00017271,0.00017271
2,21.1498,1.0895,3.75037,1.22263,0.01077,0.96136,0.16081,0.10138,1.04316,3.23874,1.14729,0.00035334,0.00035334,0.00035334
3,26.5607,1.10201,3.32562,1.21612,0.65498,0.06327,0.18523,0.13103,1.02935,3.07429,1.16071,0.00053277,0.00053277,0.00053277
4,31.8799,1.08045,3.14575,1.17746,0.16037,0.33196,0.17817,0.12236,1.0377,2.8763,1.18538,0.000711001,0.000711001,0.000711001
5,37.1709,1.01271,3.00011,1.14025,0.14554,0.28931,0.13801,0.1,1.06462,3.12598,1.28436,0.000888031,0.000888031,0.000888031
6,42.4045,1.03576,2.82937,1.15131,0.17756,0.34103,0.21536,0.16204,1.07284,2.61161,1.3316,0.000894001,0.000894001,0.000894001
7,47.7076,1.01368,2.79313,1.17035,0.21357,0.40483,0.25796,0.18084,1.07061,2.37579,1.27409,0.000891002,0.000891002,0.000891002
8,52.9656,0.98466,2.6628,1.14035,0.18195,0.4525,0.23717,0.17391,1.08554,2.26365,1.30103,0.000888002,0.000888002,0.000888002
9,58.21,1.00551,2.57833,1.15535,0.26214,0.49756,0.32832,0.24043,1.08994,2.42845,1.28875,0.000885002,0.000885002,0.000885002
10,63.53,0.9779,2.44351,1.10987,0.21368,0.49566,0.29368,0.2066,1.03387,2.18248,1.25029,0.000882003,0.000882003,0.000882003
11,68.8286,0.94163,2.34158,1.12338,0.2614,0.37191,0.32258,0.21844,1.10899,2.07857,1.35477,0.000879003,0.000879003,0.000879003
12,74.0937,0.93447,2.86419,1.08118,0.31397,0.44683,0.33254,0.25569,0.94704,2.3198,1.1895,0.000876003,0.000876003,0.000876003
