epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8587,1.69675,4.64692,1.82676,0.01164,0.70396,0.07079,0.037,1.07595,3.53534,1.17848,0.00014544,0.00014544,0.00014544
2,17.6788,1.14382,3.80297,1.25729,0.00828,0.96888,0.17402,0.11275,1.02247,3.31128,1.0949,0.000298782,0.000298782,0.000298782
3,22.5491,1.09395,3.52422,1.2184,0.00786,0.97473,0.19808,0.14028,0.9512,3.15199,1.04297,0.0004509,0.0004509,0.0004509
4,27.3016,1.05832,3.19966,1.16027,0.00615,0.98187,0.22163,0.15317,0.99669,3.0448,1.11958,0.000601795,0.000601795,0.000601795
5,32.0426,1.07815,3.10592,1.18077,0.49704,0.09253,0.24714,0.17245,1.05913,2.84782,1.10773,0.000751465,0.000751465,0.000751465
6,36.7556,1.01481,2.84228,1.14735,0.18702,0.28301,0.24522,0.16373,1.09024,2.53417,1.17962,0.000891002,0.000891002,0.000891002
7,41.4715,1.03176,2.7795,1.10993,0.29345,0.43069,0.29398,0.18495,1.14039,2.49013,1.24302,0.000887402,0.000887402,0.000887402
8,46.1744,1.02025,2.65447,1.11071,0.1688,0.59957,0.26978,0.19172,1.15199,2.81322,1.20597,0.000883803,0.000883803,0.000883803
9,50.8996,1.03631,2.67189,1.0938,0.19803,0.56955,0.28994,0.21758,1.06133,2.21787,1.20922,0.000880203,0.000880203,0.000880203
10,55.6051,0.96577,2.49991,1.09713,0.27249,0.48793,0.3964,0.28406,1.1055,2.29069,1.17869,0.000876603,0.000876603,0.000876603
11,60.3641,0.9689,2.44461,1.12912,0.22709,0.68002,0.39863,0.29733,0.99862,2.57559,1.11969,0.000873004,0.000873004,0.000873004
12,65.2154,0.94195,2.38836,1.09445,0.35864,0.58584,0.44337,0.34067,0.97613,2.09212,1.1016,0.000869404,0.000869404,0.000869404
13,69.9969,0.97228,2.32327,1.13068,0.37765,0.59978,0.44806,0.33498,0.97077,1.94961,1.14249,0.000865804,0.000865804,0.000865804
14,74.755,0.95047,2.21766,1.1014,0.35172,0.53175,0.45573,0.35318,0.97244,1.8441,1.13728,0.000862205,0.000862205,0.000862205
15,79.5795,0.94613,2.19846,1.08884,0.3247,0.61026,0.46451,0.35579,1.00271,2.08077,1.14873,0.000858605,0.000858605,0.000858605
16,84.4628,0.93155,2.07309,1.0659,0.30755,0.58861,0.41373,0.31645,1.00161,2.01546,1.11014,0.000855005,0.000855005,0.000855005
17,89.221,0.89498,2.0062,1.05693,0.40568,0.52382,0.44767,0.33058,1.06101,2.27737,1.15674,0.000851406,0.000851406,0.000851406
18,94.019,0.92776,1.97054,1.08935,0.34488,0.59329,0.44979,0.33956,1.04533,1.86246,1.1517,0.000847806,0.000847806,0.000847806
19,98.827,0.94748,1.96969,1.07058,0.45181,0.58416,0.51006,0.37674,0.98581,1.87353,1.13243,0.000844206,0.000844206,0.000844206
20,103.65,0.8888,1.93067,1.07187,0.44193,0.62549,0.52469,0.40599,0.97951,1.54009,1.11726,0.000840607,0.000840607,0.000840607
21,108.492,0.90299,1.92882,1.09153,0.39525,0.58287,0.53732,0.4124,1.00226,1.64088,1.15522,0.000837007,0.000837007,0.000837007
22,113.339,0.893,1.80973,1.04753,0.44183,0.51355,0.47752,0.35158,1.07137,1.97644,1.17657,0.000833408,0.000833408,0.000833408
23,118.287,0.87211,1.6885,1.05351,0.31525,0.55241,0.43277,0.33911,0.95199,1.98653,1.13093,0.000829808,0.000829808,0.000829808
24,123.139,0.85858,1.72491,1.04664,0.50954,0.51716,0.53271,0.40731,1.01541,1.61256,1.17328,0.000826208,0.000826208,0.000826208
25,128.006,0.88675,1.66412,1.0534,0.43184,0.56105,0.52276,0.39472,1.02814,1.67975,1.15205,0.000822609,0.000822609,0.000822609
26,132.901,0.83911,1.58214,1.02076,0.38438,0.62715,0.52727,0.40174,0.9966,1.65228,1.12989,0.000819009,0.000819009,0.000819009
27,137.811,0.84868,1.6513,1.05617,0.49587,0.57533,0.53917,0.41693,0.93648,1.56944,1.11537,0.000815409,0.000815409,0.000815409
28,142.708,0.80419,1.48781,1.03014,0.54449,0.56277,0.54766,0.42153,0.94314,1.70666,1.07529,0.00081181,0.00081181,0.00081181
29,147.714,0.84854,1.49715,1.03741,0.41771,0.6465,0.55695,0.44017,0.9525,1.59413,1.14009,0.00080821,0.00080821,0.00080821
30,154.43,0.84749,1.58117,1.03068,0.51914,0.66241,0.62349,0.47308,0.97865,1.4838,1.11551,0.00080461,0.00080461,0.00080461
31,160.454,0.85431,1.47822,1.03411,0.53531,0.48834,0.57359,0.43926,0.98159,1.64672,1.15053,0.000801011,0.000801011,0.000801011
